image_id,image_path,model,raw_quality_score,tta_mean,tta_std,uncertainty_normalized,confidence_adjusted_score
4_25,data/raw/4_25.png,vgg16,88.76935839653015,90.41372299194336,3.5030290322497684,0.5087794664413613,44.41307724912538
4_27,data/raw/4_27.png,vgg16,76.73127055168152,78.27438473701477,3.087935850186903,0.44627545093067256,43.34244839218255
4_28,data/raw/4_28.png,vgg16,94.02494430541992,93.59356164932252,1.1037796161575144,0.14750462696512642,79.78807825190164
5_0,data/raw/5_0.png,vgg16,90.10721445083618,89.97930407524109,0.2471224994922287,0.01851067567618499,88.31372635993547
5_11,data/raw/5_11.png,vgg16,82.32659101486206,81.30830764770508,2.133518119952274,0.3025608750424399,56.70759493759552
5_14,data/raw/5_14.png,vgg16,71.03362083435059,71.55528783798218,1.200590255577615,0.16208220609529203,59.95744892741841
5_18,data/raw/5_18.png,vgg16,83.2925021648407,83.61354947090149,0.5748331939351722,0.06785678689556457,77.93980266287278
5_2,data/raw/5_2.png,vgg16,88.75963687896729,88.72564554214478,0.6352334472429351,0.07695175287606143,81.89805159261662
5_20,data/raw/5_20.png,vgg16,81.40894174575806,80.80896615982056,0.7958778394438305,0.10114130841616964,72.63584159065833
5_22,data/raw/5_22.png,vgg16,85.52011847496033,85.66693902015686,0.3834338761155542,0.03903620769385453,82.32282659606925
5_24,data/raw/5_24.png,vgg16,88.0408763885498,87.60437726974487,1.1435619203653962,0.15349497772661833,74.15754533197111
5_26,data/raw/5_26.png,vgg16,82.33393430709839,81.12472891807556,2.446844499214026,0.3497410208881467,52.75208340699366
5_27,data/raw/5_27.png,vgg16,82.79975056648254,84.50940489768982,3.183653465106026,0.46068844431644423,45.5768986252646
5_28,data/raw/5_28.png,vgg16,86.83773279190063,85.56941270828247,2.658964536292848,0.3816816902622214,52.90913463103961
5_29,data/raw/5_29.png,vgg16,89.2501175403595,89.54864501953125,0.2797834573413983,0.023428706384020795,87.45063610828174
5_4,data/raw/5_4.png,vgg16,88.9018714427948,87.72194862365723,2.754130321548446,0.3960115900889112,52.983040263504954
5_5,data/raw/5_5.png,vgg16,86.63315773010254,86.56007528305054,0.1454651189617279,0.003203282628008861,86.2827988976172
5_6,data/raw/5_6.png,vgg16,88.15377354621887,87.58313298225403,1.6095463579818263,0.22366211073461328,67.99410459469277
5_7,data/raw/5_7.png,vgg16,80.22711277008057,81.73979043960571,3.163342319397257,0.4576300270229786,44.333207931876345
5_9,data/raw/5_9.png,vgg16,83.70749950408936,83.61682772636414,0.4843034638771549,0.05422497626546896,79.08270722750824
6_0,data/raw/6_0.png,vgg16,80.5604338645935,81.16706252098083,1.1870136020945117,0.16003785702727336,68.17725977392435
6_1,data/raw/6_1.png,vgg16,95.3743040561676,95.61073184013368,0.4468810489774012,0.04858997356627409,90.96500890736947
6_3,data/raw/6_3.png,vgg16,88.50046992301941,89.17431473731995,1.1674278072381707,0.15708866181427053,75.16604096702977
7_0,data/raw/7_0.png,vgg16,71.81261777877808,71.77653312683105,0.2301856629119976,0.015960356032167233,70.63095410337218
7_10,data/raw/7_10.png,vgg16,76.48873329162598,77.25843787193298,1.2973155833619223,0.17664693914646315,63.610971298618836
7_11,data/raw/7_11.png,vgg16,65.28552770614624,65.74053287506104,1.4748639148498266,0.2033818607129084,52.370100974672994
7_12,data/raw/7_12.png,vgg16,74.78731274604797,74.29998517036438,1.0312397648024163,0.13658170124587085,64.15196679325304
7_13,data/raw/7_13.png,vgg16,72.94841408729553,72.90378451347351,0.4131418971236966,0.0435095902646229,69.73177072055192
7_15,data/raw/7_15.png,vgg16,83.2669198513031,83.09985280036926,0.3976740592808905,0.04118046991714114,79.67776181200479
7_19,data/raw/7_19.png,vgg16,74.8003602027893,76.02007150650024,2.2213955227345465,0.3157933028053954,52.013442045960204
7_2,data/raw/7_2.png,vgg16,82.115238904953,83.38071703910828,2.4921139546664106,0.35655761742123004,53.65068723277007
7_20,data/raw/7_20.png,vgg16,69.79364156723022,71.26273036003113,2.6215721890105232,0.37605121509300615,44.46429401729616
7_21,data/raw/7_21.png,vgg16,76.89153552055359,77.79739022254944,2.362507402949056,0.33704168637517024,51.5764266263542
7_22,data/raw/7_22.png,vgg16,85.19657850265503,85.9110975265503,1.3197988107400775,0.18003242475186568,70.44431432575144
7_23,data/raw/7_23.png,vgg16,67.55436658859253,70.02956509590149,5.258723702855944,0.7731489421774922,15.886280920855423
7_25,data/raw/7_25.png,vgg16,78.78867387771606,78.10692191123962,1.5419903338382126,0.21348964112205915,61.43190318326038
7_28,data/raw/7_28.png,vgg16,73.64824414253235,74.1599702835083,1.1326279858826718,0.15184856472820496,62.89888523567124
7_29,data/raw/7_29.png,vgg16,69.84496712684631,72.01484799385071,4.317803710759989,0.6314668324208067,26.539860043907915
7_4,data/raw/7_4.png,vgg16,76.61609649658203,75.16456007957458,3.324966834940224,0.4819671678456751,38.937709935655924
7_5,data/raw/7_5.png,vgg16,81.9208025932312,81.57562494277954,0.9337386072236026,0.1219001450821916,71.63154442708426
7_7,data/raw/7_7.png,vgg16,71.70274257659912,71.04248523712158,1.385439072235365,0.18991642212864204,57.55035062176058
7_9,data/raw/7_9.png,vgg16,76.48952007293701,76.69020652770996,0.4269082495477494,0.04558250387202658,73.19447489171411
8_1,data/raw/8_1.png,vgg16,68.20149421691895,68.53265643119812,0.3807708502622167,0.038635213853350635,65.88488259404058
8_10,data/raw/8_10.png,vgg16,76.73779726028442,77.75089859962463,2.164630042498095,0.3072456546856691,53.86227285698389
8_12,data/raw/8_12.png,vgg16,64.52157497406006,65.81281304359436,2.66870621545424,0.3831485755104391,40.596727475606336
8_13,data/raw/8_13.png,vgg16,70.49808502197266,70.08564472198486,0.7948678362712139,0.1009892238802268,63.007749856366296
8_14,data/raw/8_14.png,vgg16,75.51909685134888,74.13816928863525,2.80715968686789,0.40399666046751,44.1865964828517
8_17,data/raw/8_17.png,vgg16,55.88140487670898,58.65607142448425,5.519870933506073,0.8124720418102321,10.999653309666721
8_18,data/raw/8_18.png,vgg16,59.34439301490784,60.89460372924805,3.153901130581417,0.4562083890927867,33.11397465748419
8_19,data/raw/8_19.png,vgg16,65.05626440048218,61.8268221616745,6.4839255429850695,0.9576377223559085,2.619125006264725
8_2,data/raw/8_2.png,vgg16,71.32683992385864,70.64499258995056,1.645861412196443,0.22913036897152678,54.45807937182442
8_20,data/raw/8_20.png,vgg16,70.39539217948914,69.15341854095459,2.600481386401074,0.3728753984079847,43.36781005122203
8_21,data/raw/8_21.png,vgg16,75.11649131774902,74.25082325935364,1.670369645893614,0.23282077653624453,56.963688929655476
8_22,data/raw/8_22.png,vgg16,74.77699518203735,75.23250818252563,0.7217250096714666,0.0899755031884862,68.46342540267098
8_23,data/raw/8_23.png,vgg16,73.052316904068,71.66625022888184,2.787033777602609,0.4009661357582573,42.930510810322765
8_26,data/raw/8_26.png,vgg16,68.83118152618408,69.9832010269165,2.073935161776993,0.293588975953535,49.43690470347371
8_27,data/raw/8_27.png,vgg16,69.77535486221313,69.49969530105591,0.5652548515135478,0.06641449661194043,64.88390802295304
8_28,data/raw/8_28.png,vgg16,73.75600337982178,73.20432901382446,0.9582761242046076,0.12559496207328893,64.01023408773261
8_29,data/raw/8_29.png,vgg16,67.84881353378296,66.86262726783752,1.7432829148281348,0.24379993083063645,50.56152336478411
8_4,data/raw/8_4.png,vgg16,63.03116679191589,63.68535161018372,1.8242911496336291,0.25599801112579607,47.38202826012968
8_7,data/raw/8_7.png,vgg16,69.41041350364685,68.90400528907776,1.3219630938682971,0.18035831877292255,56.47659473841913
8_9,data/raw/8_9.png,vgg16,76.63785219192505,76.32538557052612,0.7321716672162653,0.09154854286591474,69.33790773786534
p00_s01,data/raw/p00_s01.png,vgg16,87.97877430915833,87.48946189880371,1.7039823545172943,0.23788212023437494,66.67728320415172
p00_s02,data/raw/p00_s02.png,vgg16,83.81288647651672,85.73489308357239,3.5019125445828223,0.508611347653899,42.129153571373685
p00_s03,data/raw/p00_s03.png,vgg16,82.08308219909668,81.11221194267273,1.2022568357287329,0.1623331568603651,67.94501051809166
p00_s04,data/raw/p00_s04.png,vgg16,88.84366750717163,88.01927089691162,1.926532378549024,0.2713933190569003,64.13142882723035
p00_s07,data/raw/p00_s07.png,vgg16,91.42745733261108,90.51451683044434,1.8181015206705284,0.25506598747078824,67.42734221464578
p00_s09,data/raw/p00_s09.png,vgg16,85.09033918380737,85.004962682724,0.1299596256002416,0.0008684921774626415,84.93113653758854
p00_s11,data/raw/p00_s11.png,vgg16,77.68388986587524,77.97026515007019,0.2693485206177413,0.021857431607626765,76.26603541212401
p00_s12,data/raw/p00_s12.png,vgg16,94.82710361480711,95.57498335838318,0.706865736695163,0.0877380194891086,87.18942360581413
p00_s14,data/raw/p00_s14.png,vgg16,83.46669673919678,84.75457429885864,2.5368192954019437,0.36328927053308774,53.9641468274839
p00_s16,data/raw/p00_s16.png,vgg16,94.22086477279665,91.0190761089325,6.166087974634254,0.9097782894368917,8.211896740421638
p00_s17,data/raw/p00_s17.png,vgg16,86.98691725730896,86.44928693771362,1.1077371375893204,0.14810054371742812,73.64610053825429
p00_s19,data/raw/p00_s19.png,vgg16,84.7482979297638,84.14803624153137,1.2123382186850216,0.163851194120186,70.36028002048776
p00_s21,data/raw/p00_s21.png,vgg16,73.26958775520325,75.42875170707703,4.413957420069615,0.6459454921478386,26.705889563552038
p00_s22,data/raw/p00_s22.png,vgg16,76.03095769882202,78.28053593635559,4.732607465630328,0.6939272664839733,23.95953761513992
p00_s23,data/raw/p00_s23.png,vgg16,84.3023419380188,84.78817582130432,1.0787903740241744,0.1437417899796081,72.60057165964432
p00_s24,data/raw/p00_s24.png,vgg16,89.38581943511963,89.56605911254883,0.4773725806666082,0.053181335824202515,84.802816444434
p00_s25,data/raw/p00_s25.png,vgg16,80.33241033554077,80.6655752658844,1.1789737420795323,0.15882722877126906,67.85368548916375
p00_s27,data/raw/p00_s27.png,vgg16,84.58219766616821,84.78185892105103,0.5222893681458581,0.05994482822208092,79.69962495167992
p00_s28,data/raw/p00_s28.png,vgg16,86.30874752998352,85.35297274589539,2.5785788931807483,0.3695773587505695,53.80844651695802
p00_s29,data/raw/p00_s29.png,vgg16,73.78655672073364,73.85698676109314,0.2081476968717588,0.012641917111157674,72.92329285637953
p01_s00,data/raw/p01_s00.png,vgg16,69.91492509841919,70.92095255851746,1.8944703827684128,0.26656547902441463,52.01587486688847
p01_s04,data/raw/p01_s04.png,vgg16,77.1429181098938,77.72746086120605,1.276188395501634,0.17346564363311814,64.24441683494895
