image_id,image_path,model,raw_quality_score,tta_mean,tta_std,uncertainty_normalized,confidence_adjusted_score
4_25,data/raw/4_25.png,resnet50,85.30784249305725,88.23916912078857,5.898433596634889,0.5512943661780787,39.59341230826314
4_27,data/raw/4_27.png,resnet50,84.49984192848206,82.3999035358429,4.320821704507411,0.4038436008356316,49.123229783419404
4_28,data/raw/4_28.png,resnet50,89.94110822677612,89.46796774864197,2.357922406632579,0.2203821264349247,69.75082676838498
5_0,data/raw/5_0.png,resnet50,92.60346293449402,93.3277142047882,2.4014841396493947,0.22445360364996447,72.37997243110951
5_11,data/raw/5_11.png,resnet50,80.68041205406189,79.58874464035034,1.3404771558155937,0.12528707696449382,69.61730346508732
5_14,data/raw/5_14.png,resnet50,90.48187136650084,88.30423951148987,6.392604092779711,0.597481782886727,35.54406505170834
5_18,data/raw/5_18.png,resnet50,83.95091891288757,83.1029748916626,1.123979934241956,0.1050522643500319,74.37281920506959
5_2,data/raw/5_2.png,resnet50,99.22930002212524,96.86967492103577,3.936540483528752,0.36792693437109236,61.22871239381479
5_20,data/raw/5_20.png,resnet50,72.23934531211853,71.46701693534851,1.7952347684536256,0.16779078675737336,59.47550993656386
5_22,data/raw/5_22.png,resnet50,76.44256949424744,76.76446795463562,1.4678736685451743,0.13719413306471342,66.23283332342541
5_24,data/raw/5_24.png,resnet50,84.14424657821655,83.10945987701416,3.193147550376573,0.2984460579334557,58.30576919974058
5_26,data/raw/5_26.png,resnet50,84.91185307502747,86.75070405006409,2.9807330664885527,0.27859283650719463,62.582579339760564
5_27,data/raw/5_27.png,resnet50,73.00618290901184,72.23772883415222,1.2490611998134884,0.11674292694617441,63.80448493410923
5_28,data/raw/5_28.png,resnet50,87.59306073188782,88.59779357910156,1.9807539472799105,0.18513025094380814,72.19566182073477
5_29,data/raw/5_29.png,resnet50,75.69984793663025,79.67957377433777,6.151586056427701,0.5749551436678043,33.867392987523985
5_4,data/raw/5_4.png,resnet50,72.10315465927124,72.39580035209656,0.8230760366583356,0.07692842082765752,66.8265057564554
5_5,data/raw/5_5.png,resnet50,79.97900247573853,78.47010970115662,3.5388432901760933,0.3307563502578393,52.51562261206979
5_6,data/raw/5_6.png,resnet50,87.92374730110168,87.9490876197815,1.8392111758141267,0.17190102131802484,72.8305496339526
5_7,data/raw/5_7.png,resnet50,91.00437760353088,91.621356010437,1.35445042710857,0.12659308229873892,80.02272614868569
5_9,data/raw/5_9.png,resnet50,79.54233288764954,78.61791491508484,1.046743437299316,0.09783339091012404,70.92645771265848
6_0,data/raw/6_0.png,resnet50,97.00188040733336,92.58532881736755,7.534837447055015,0.704240094692071,27.383028083928092
6_1,data/raw/6_1.png,resnet50,98.29561114311218,97.97145009040833,2.4309056242305087,0.2272034690893952,75.71199675814901
6_3,data/raw/6_3.png,resnet50,82.07468390464783,81.68783783912659,2.0658326963508102,0.19308209684930827,65.91537882206175
7_0,data/raw/7_0.png,resnet50,97.6979911327362,96.583571434021,3.1246358710073165,0.29204264552999687,68.37704971769406
7_10,data/raw/7_10.png,resnet50,81.00632429122925,79.81393337249756,1.5001673881305408,0.14021245061947984,68.6230261807598
7_11,data/raw/7_11.png,resnet50,61.9454026222229,62.349607944488525,0.58849409713964,0.05500332842048621,58.92017198182927
7_12,data/raw/7_12.png,resnet50,83.30649137496948,81.00351333618164,2.021639954375391,0.18895164267399814,65.697766428945
7_13,data/raw/7_13.png,resnet50,72.06856608390808,72.4586808681488,0.8036220332294699,0.07511016140094101,67.01629765324287
7_15,data/raw/7_15.png,resnet50,98.85305762290956,97.0111334323883,3.515619595916976,0.32858575842237336,65.13465657809293
7_19,data/raw/7_19.png,resnet50,100.0,99.74019646644592,0.5196070671081543,0.048564834041103115,94.89633037782596
7_2,data/raw/7_2.png,resnet50,77.097487449646,77.88159132003784,3.709954790498043,0.346749207441073,50.876211255565174
7_20,data/raw/7_20.png,resnet50,71.26514911651611,70.54149627685547,1.0830094634339678,0.10122297825804413,63.40107593293342
7_21,data/raw/7_21.png,resnet50,82.736736536026,82.81057953834534,3.60185413486258,0.33664562969358647,54.93275984436824
7_22,data/raw/7_22.png,resnet50,85.95487475395203,85.12511014938354,1.4442144712977003,0.13498283714400158,73.6346812692241
7_23,data/raw/7_23.png,resnet50,65.29690027236938,66.0153079032898,1.9237130111598464,0.17979894624921,54.145825105961144
7_25,data/raw/7_25.png,resnet50,71.01584672927856,72.04235076904297,2.563792427596129,0.23962367266287884,54.77929809049752
7_28,data/raw/7_28.png,resnet50,78.01838517189026,78.98969531059265,0.7904838875941869,0.07388221069977675,73.15376199854428
7_29,data/raw/7_29.png,resnet50,70.07231116294861,71.6972029209137,2.327173163293278,0.21750816263767747,56.102476047325034
7_4,data/raw/7_4.png,resnet50,70.42652368545532,71.79662585258484,1.4779628237192175,0.13813711128356115,61.87884735740212
7_5,data/raw/7_5.png,resnet50,87.91524767875671,86.26628756523132,3.899684597057704,0.36448221599983194,54.82375990737706
7_7,data/raw/7_7.png,resnet50,86.51033043861389,87.75953650474548,0.9506151415297694,0.08884880423642048,79.96220662595636
7_9,data/raw/7_9.png,resnet50,80.81952333450317,80.791255235672,1.912997361656396,0.17879741302782026,66.3459878042635
8_1,data/raw/8_1.png,resnet50,74.88242387771606,73.16687345504761,4.521504648448694,0.4226003393103987,42.24652790666348
8_10,data/raw/8_10.png,resnet50,69.99273896217346,70.36794185638428,0.5713523760314538,0.05340118539069433,66.6102103477499
8_12,data/raw/8_12.png,resnet50,71.58976197242737,72.19712018966675,0.7875852413502838,0.07361129007015084,66.88259703315565
8_13,data/raw/8_13.png,resnet50,64.58685994148254,65.02942681312561,2.033632728940325,0.19007254179817643,52.66911836707634
8_14,data/raw/8_14.png,resnet50,53.074586391448975,52.46450066566467,1.2625166406727162,0.1180005334985931,46.27366159737895
8_17,data/raw/8_17.png,resnet50,49.45053160190582,50.190509557724,2.3539968613498496,0.22001522716190747,39.147833196009465
8_18,data/raw/8_18.png,resnet50,73.2532262802124,76.96588635444641,6.584929868938425,0.6154574225425866,29.596660315033184
8_19,data/raw/8_19.png,resnet50,53.884392976760864,52.63783037662506,3.5899176942538094,0.3355299957965483,34.976259371616635
8_2,data/raw/8_2.png,resnet50,53.74909043312073,54.988555908203125,4.221537444225799,0.39456404339946116,33.29204894836517
8_20,data/raw/8_20.png,resnet50,63.7929916381836,65.68865418434143,3.6966143859332528,0.3455023527026725,42.99306961777921
8_21,data/raw/8_21.png,resnet50,71.9605803489685,73.27338933944702,1.285862025589119,0.12018249909502098,64.46721029146981
8_22,data/raw/8_22.png,resnet50,80.00089526176453,79.41427230834961,1.197968547058469,0.11196757580328713,70.5224487538016
8_23,data/raw/8_23.png,resnet50,71.84048891067505,70.6386649608612,1.618548006039073,0.15127684028301466,59.95267092377162
8_26,data/raw/8_26.png,resnet50,74.06790852546692,75.08067846298218,2.3688908781363605,0.2214072895475635,58.45726894710117
8_27,data/raw/8_27.png,resnet50,73.59620332717896,73.63747119903564,1.7204385509819555,0.16079999290880195,61.796566352408604
8_28,data/raw/8_28.png,resnet50,66.81703925132751,65.8785879611969,2.089501751398496,0.19529431412475448,53.01287430980764
8_29,data/raw/8_29.png,resnet50,71.19819521903992,68.76804709434509,4.799002383260103,0.4485365366621815,37.92306541762575
8_4,data/raw/8_4.png,resnet50,53.4808874130249,52.61469483375549,3.599179057789459,0.3363956048530347,34.91534274099647
8_7,data/raw/8_7.png,resnet50,60.47959923744202,61.3906991481781,1.7785935755256552,0.16623542536228933,51.18539016199238
8_9,data/raw/8_9.png,resnet50,79.99494671821594,79.65498089790344,0.601399437679523,0.05620952010115649,75.1776126479655
p00_s01,data/raw/p00_s01.png,resnet50,74.14564490318298,74.57510828971863,0.900526085434372,0.08416725379083705,68.29832622381873
p00_s02,data/raw/p00_s02.png,resnet50,93.9801037311554,89.75895881652832,6.479302718532792,0.6055850298166108,35.40227706531308
p00_s03,data/raw/p00_s03.png,resnet50,84.45360064506531,82.17548370361328,4.8495096691218045,0.4532571767593061,44.928855961283155
p00_s04,data/raw/p00_s04.png,resnet50,84.5621645450592,84.41562294960022,0.9132844594814228,0.08535970931627426,77.20992991287014
