image_id,image_path,resnet18_raw,resnet18_confidence,resnet18_normalized,vgg16_raw,vgg16_confidence,vgg16_normalized,resnet50_raw,resnet50_confidence,resnet50_normalized,ensemble_score
4_25,data/raw/4_25.png,83.02236795425415,56.7382393988061,0.7240275124332389,88.76935839653015,44.41307724912538,0.7561695495859467,85.30784249305725,39.59341230826314,0.709350899771348,0.7298493205968445
4_27,data/raw/4_27.png,89.06731605529785,78.02652222866907,0.8222885278776757,76.73127055168152,43.34244839218255,0.4793862751864289,84.49984192848206,49.123229783419404,0.6933665464204499,0.6650137831615182
4_28,data/raw/4_28.png,91.83104038238524,45.76976393014017,0.8672130424059662,94.02494430541992,79.78807825190164,0.877007534446886,89.94110822677612,69.75082676838498,0.8010089504006906,0.8484098424178476
5_0,data/raw/5_0.png,79.004567861557,45.93371922607201,0.6587179166580477,90.10721445083618,88.31372635993547,0.7869299314803603,92.60346293449402,72.37997243110951,0.8536772531957063,0.7664417004447048
5_11,data/raw/5_11.png,82.45583772659302,71.14453504055363,0.7148185275884659,82.32659101486206,56.70759493759552,0.6080355373511386,80.68041205406189,69.61730346508732,0.6178082864533844,0.6468874504643295
5_14,data/raw/5_14.png,62.9132866859436,42.59139115537217,0.397153118799034,71.03362083435059,59.95744892741841,0.3483842285599639,90.48187136650084,35.54406505170834,0.8117066522136163,0.5190813331908714
5_18,data/raw/5_18.png,89.71951603889465,67.48397191017587,0.8328900800481571,83.2925021648407,77.93980266287278,0.6302440520517931,83.95091891288757,74.37281920506959,0.6825074210331852,0.7152138510443784
5_2,data/raw/5_2.png,100.0,54.133835237843925,1.0,88.75963687896729,81.89805159261662,0.7559460295802894,99.22930002212524,61.22871239381479,0.9847535492993669,0.9135665262932188
5_20,data/raw/5_20.png,77.6341199874878,74.68676682827463,0.6364411993945098,81.40894174575806,72.63584159065833,0.5869366740826156,72.23934531211853,59.47550993656386,0.45082202508527064,0.558066632854132
5_22,data/raw/5_22.png,86.08989715576172,66.96624739796114,0.7738903944972808,85.52011847496033,82.32282659606925,0.6814620647766733,76.44256949424744,66.23283332342541,0.533972734980518,0.663108398084824
