image_id,image_path,model,raw_quality_score,tta_mean,tta_std
4_25,data/raw/4_25.png,resnet50,85.30784249305725,88.23916912078857,5.898433596634889
4_27,data/raw/4_27.png,resnet50,84.49984192848206,82.3999035358429,4.320821704507411
4_28,data/raw/4_28.png,resnet50,89.94110822677612,89.46796774864197,2.357922406632579
5_0,data/raw/5_0.png,resnet50,92.60346293449402,93.32771420478821,2.4014841396493947
5_11,data/raw/5_11.png,resnet50,80.68041205406189,79.58874464035034,1.3404771558155935
5_14,data/raw/5_14.png,resnet50,90.48187136650085,88.30423951148987,6.392604092779711
5_18,data/raw/5_18.png,resnet50,83.95091891288757,83.1029748916626,1.1239799342419559
5_2,data/raw/5_2.png,resnet50,99.22930002212524,96.86967492103577,3.936540483528752
5_20,data/raw/5_20.png,resnet50,72.23934531211853,71.46701693534851,1.7952347684536256
5_22,data/raw/5_22.png,resnet50,76.44256949424744,76.76446795463562,1.4678736685451745
5_24,data/raw/5_24.png,resnet50,84.14424657821655,83.10945987701416,3.193147550376573
5_26,data/raw/5_26.png,resnet50,84.91185307502747,86.75070405006409,2.9807330664885527
5_27,data/raw/5_27.png,resnet50,73.00618290901184,72.23772883415222,1.2490611998134884
5_28,data/raw/5_28.png,resnet50,87.59306073188782,88.59779357910156,1.9807539472799105
5_29,data/raw/5_29.png,resnet50,75.69984793663025,79.67957377433777,6.151586056427701
5_4,data/raw/5_4.png,resnet50,72.10315465927124,72.39580035209656,0.8230760366583356
5_5,data/raw/5_5.png,resnet50,79.97900247573853,78.47010970115662,3.5388432901760933
5_6,data/raw/5_6.png,resnet50,87.92374730110168,87.9490876197815,1.8392111758141267
5_7,data/raw/5_7.png,resnet50,91.00437760353088,91.62135601043701,1.35445042710857
5_9,data/raw/5_9.png,resnet50,79.54233288764954,78.61791491508484,1.046743437299316
6_0,data/raw/6_0.png,resnet50,97.00188040733337,92.58532881736755,7.534837447055015
6_1,data/raw/6_1.png,resnet50,98.29561114311218,97.97145009040833,2.4309056242305087
6_3,data/raw/6_3.png,resnet50,82.07468390464783,81.68783783912659,2.0658326963508102
7_0,data/raw/7_0.png,resnet50,97.6979911327362,96.583571434021,3.1246358710073165
7_10,data/raw/7_10.png,resnet50,81.00632429122925,79.81393337249756,1.5001673881305408
7_11,data/raw/7_11.png,resnet50,61.9454026222229,62.349607944488525,0.58849409713964
7_12,data/raw/7_12.png,resnet50,83.30649137496948,81.00351333618164,2.021639954375391
7_13,data/raw/7_13.png,resnet50,72.06856608390808,72.4586808681488,0.8036220332294699
7_15,data/raw/7_15.png,resnet50,98.85305762290955,97.0111334323883,3.515619595916976
7_19,data/raw/7_19.png,resnet50,100.0,99.74019646644592,0.5196070671081543
7_2,data/raw/7_2.png,resnet50,77.097487449646,77.88159132003784,3.709954790498043
7_20,data/raw/7_20.png,resnet50,71.26514911651611,70.54149627685547,1.0830094634339678
