image_id,image_path,model,raw_quality_score,tta_mean,tta_std
4_25,data/raw/4_25.png,vgg16,88.76935839653015,90.41372299194336,3.5030290322497684
4_27,data/raw/4_27.png,vgg16,76.73127055168152,78.27438473701477,3.087935850186903
4_28,data/raw/4_28.png,vgg16,94.02494430541992,93.59356164932251,1.1037796161575144
5_0,data/raw/5_0.png,vgg16,90.10721445083618,89.97930407524109,0.2471224994922287
5_11,data/raw/5_11.png,vgg16,82.32659101486206,81.30830764770508,2.133518119952274
5_14,data/raw/5_14.png,vgg16,71.03362083435059,71.55528783798218,1.200590255577615
5_18,data/raw/5_18.png,vgg16,83.2925021648407,83.61354947090149,0.5748331939351722
5_2,data/raw/5_2.png,vgg16,88.75963687896729,88.72564554214478,0.6352334472429351
5_20,data/raw/5_20.png,vgg16,81.40894174575806,80.80896615982056,0.7958778394438305
5_22,data/raw/5_22.png,vgg16,85.52011847496033,85.66693902015686,0.3834338761155542
5_24,data/raw/5_24.png,vgg16,88.0408763885498,87.60437726974487,1.1435619203653962
5_26,data/raw/5_26.png,vgg16,82.33393430709839,81.12472891807556,2.446844499214026
5_27,data/raw/5_27.png,vgg16,82.79975056648254,84.50940489768982,3.183653465106026
5_28,data/raw/5_28.png,vgg16,86.83773279190063,85.56941270828247,2.658964536292848
5_29,data/raw/5_29.png,vgg16,89.2501175403595,89.54864501953125,0.2797834573413983
5_4,data/raw/5_4.png,vgg16,88.9018714427948,87.72194862365723,2.754130321548446
5_5,data/raw/5_5.png,vgg16,86.63315773010254,86.56007528305054,0.14546511896172795
5_6,data/raw/5_6.png,vgg16,88.15377354621887,87.58313298225403,1.6095463579818265
5_7,data/raw/5_7.png,vgg16,80.22711277008057,81.73979043960571,3.163342319397257
5_9,data/raw/5_9.png,vgg16,83.70749950408936,83.61682772636414,0.48430346387715495
6_0,data/raw/6_0.png,vgg16,80.5604338645935,81.16706252098083,1.1870136020945117
6_1,data/raw/6_1.png,vgg16,95.3743040561676,95.61073184013367,0.4468810489774012
6_3,data/raw/6_3.png,vgg16,88.50046992301941,89.17431473731995,1.1674278072381707
7_0,data/raw/7_0.png,vgg16,71.81261777877808,71.77653312683105,0.23018566291199766
7_10,data/raw/7_10.png,vgg16,76.48873329162598,77.25843787193298,1.2973155833619225
7_11,data/raw/7_11.png,vgg16,65.28552770614624,65.74053287506104,1.4748639148498266
7_12,data/raw/7_12.png,vgg16,74.78731274604797,74.29998517036438,1.0312397648024163
7_13,data/raw/7_13.png,vgg16,72.94841408729553,72.90378451347351,0.4131418971236966
7_15,data/raw/7_15.png,vgg16,83.2669198513031,83.09985280036926,0.3976740592808905
7_19,data/raw/7_19.png,vgg16,74.8003602027893,76.02007150650024,2.2213955227345465
7_2,data/raw/7_2.png,vgg16,82.115238904953,83.38071703910828,2.4921139546664106
7_20,data/raw/7_20.png,vgg16,69.79364156723022,71.26273036003113,2.6215721890105232
7_21,data/raw/7_21.png,vgg16,76.89153552055359,77.79739022254944,2.362507402949056
7_22,data/raw/7_22.png,vgg16,85.19657850265503,85.9110975265503,1.3197988107400775
7_23,data/raw/7_23.png,vgg16,67.55436658859253,70.02956509590149,5.258723702855944
7_25,data/raw/7_25.png,vgg16,78.78867387771606,78.10692191123962,1.5419903338382126
7_28,data/raw/7_28.png,vgg16,73.64824414253235,74.1599702835083,1.1326279858826718
7_29,data/raw/7_29.png,vgg16,69.84496712684631,72.01484799385071,4.317803710759989
7_4,data/raw/7_4.png,vgg16,76.61609649658203,75.16456007957458,3.324966834940224
7_5,data/raw/7_5.png,vgg16,81.9208025932312,81.57562494277954,0.9337386072236026
7_7,data/raw/7_7.png,vgg16,71.70274257659912,71.04248523712158,1.385439072235365
7_9,data/raw/7_9.png,vgg16,76.48952007293701,76.69020652770996,0.4269082495477494
8_1,data/raw/8_1.png,vgg16,68.20149421691895,68.53265643119812,0.3807708502622167
8_10,data/raw/8_10.png,vgg16,76.73779726028442,77.75089859962463,2.164630042498095
8_12,data/raw/8_12.png,vgg16,64.52157497406006,65.81281304359436,2.66870621545424
8_13,data/raw/8_13.png,vgg16,70.49808502197266,70.08564472198486,0.7948678362712139
8_14,data/raw/8_14.png,vgg16,75.51909685134888,74.13816928863525,2.80715968686789
8_17,data/raw/8_17.png,vgg16,55.881404876708984,58.65607142448425,5.519870933506073
8_18,data/raw/8_18.png,vgg16,59.34439301490784,60.89460372924805,3.1539011305814175
8_19,data/raw/8_19.png,vgg16,65.05626440048218,61.8268221616745,6.4839255429850695
8_2,data/raw/8_2.png,vgg16,71.32683992385864,70.64499258995056,1.645861412196443
8_20,data/raw/8_20.png,vgg16,70.39539217948914,69.15341854095459,2.600481386401074
8_21,data/raw/8_21.png,vgg16,75.11649131774902,74.25082325935364,1.670369645893614
8_22,data/raw/8_22.png,vgg16,74.77699518203735,75.23250818252563,0.7217250096714666
8_23,data/raw/8_23.png,vgg16,73.052316904068,71.66625022888184,2.7870337776026095
8_26,data/raw/8_26.png,vgg16,68.83118152618408,69.9832010269165,2.073935161776993
8_27,data/raw/8_27.png,vgg16,69.77535486221313,69.49969530105591,0.5652548515135478
8_28,data/raw/8_28.png,vgg16,73.75600337982178,73.20432901382446,0.9582761242046075
8_29,data/raw/8_29.png,vgg16,67.84881353378296,66.86262726783752,1.7432829148281348
8_4,data/raw/8_4.png,vgg16,63.031166791915894,63.685351610183716,1.8242911496336294
8_7,data/raw/8_7.png,vgg16,69.41041350364685,68.90400528907776,1.3219630938682971
8_9,data/raw/8_9.png,vgg16,76.63785219192505,76.32538557052612,0.7321716672162653
p00_s01,data/raw/p00_s01.png,vgg16,87.97877430915833,87.48946189880371,1.7039823545172943
p00_s02,data/raw/p00_s02.png,vgg16,83.81288647651672,85.73489308357239,3.5019125445828223
p00_s03,data/raw/p00_s03.png,vgg16,82.08308219909668,81.11221194267273,1.2022568357287327
p00_s04,data/raw/p00_s04.png,vgg16,88.84366750717163,88.01927089691162,1.9265323785490238
p00_s07,data/raw/p00_s07.png,vgg16,91.42745733261108,90.51451683044434,1.8181015206705284
p00_s09,data/raw/p00_s09.png,vgg16,85.09033918380737,85.004962682724,0.12995962560024166
p00_s11,data/raw/p00_s11.png,vgg16,77.68388986587524,77.97026515007019,0.2693485206177413
p00_s12,data/raw/p00_s12.png,vgg16,94.82710361480713,95.57498335838318,0.706865736695163
p00_s14,data/raw/p00_s14.png,vgg16,83.46669673919678,84.75457429885864,2.5368192954019433
p00_s16,data/raw/p00_s16.png,vgg16,94.22086477279663,91.0190761089325,6.166087974634254
p00_s17,data/raw/p00_s17.png,vgg16,86.98691725730896,86.44928693771362,1.1077371375893204
p00_s19,data/raw/p00_s19.png,vgg16,84.7482979297638,84.14803624153137,1.2123382186850216
p00_s21,data/raw/p00_s21.png,vgg16,73.26958775520325,75.42875170707703,4.413957420069615
p00_s22,data/raw/p00_s22.png,vgg16,76.03095769882202,78.28053593635559,4.732607465630328
p00_s23,data/raw/p00_s23.png,vgg16,84.3023419380188,84.78817582130432,1.0787903740241744
p00_s24,data/raw/p00_s24.png,vgg16,89.38581943511963,89.56605911254883,0.4773725806666082
p00_s25,data/raw/p00_s25.png,vgg16,80.33241033554077,80.6655752658844,1.1789737420795323
p00_s27,data/raw/p00_s27.png,vgg16,84.58219766616821,84.78185892105103,0.5222893681458581
p00_s28,data/raw/p00_s28.png,vgg16,86.30874752998352,85.35297274589539,2.5785788931807483
p00_s29,data/raw/p00_s29.png,vgg16,73.78655672073364,73.85698676109314,0.20814769687175882
p01_s00,data/raw/p01_s00.png,vgg16,69.91492509841919,70.92095255851746,1.8944703827684128
p01_s04,data/raw/p01_s04.png,vgg16,77.1429181098938,77.72746086120605,1.276188395501634
p01_s05,data/raw/p01_s05.png,vgg16,80.05748987197876,79.45021748542786,1.5305112269394747
p01_s06,data/raw/p01_s06.png,vgg16,73.822420835495,73.44264268875122,0.434883246299022
p01_s08,data/raw/p01_s08.png,vgg16,78.56593132019043,78.68871450424194,0.6467179742997525
p01_s09,data/raw/p01_s09.png,vgg16,75.16655921936035,73.75721573829651,3.5312486878516607
p01_s10,data/raw/p01_s10.png,vgg16,87.12543845176697,86.01982116699219,1.8613994732422243
p01_s11,data/raw/p01_s11.png,vgg16,72.98491597175598,72.41470694541931,0.6556216190757727
p01_s13,data/raw/p01_s13.png,vgg16,85.76608896255493,84.5724892616272,2.712870154081559
p01_s14,data/raw/p01_s14.png,vgg16,76.7596960067749,77.08669304847717,0.7686588104129441
p01_s15,data/raw/p01_s15.png,vgg16,79.87453937530518,77.14845538139343,5.676060648309148
p01_s17,data/raw/p01_s17.png,vgg16,82.72850513458252,84.02652382850647,2.3421240007626714
p01_s18,data/raw/p01_s18.png,vgg16,85.1360559463501,85.36864161491394,0.6545922485768381
p01_s19,data/raw/p01_s19.png,vgg16,84.92599725723267,84.4714081287384,0.9810748387351159
p01_s20,data/raw/p01_s20.png,vgg16,80.69357872009277,82.82139420509338,3.8238825914982297
p01_s21,data/raw/p01_s21.png,vgg16,75.77921152114868,76.85055375099182,2.1540907667209797
p01_s22,data/raw/p01_s22.png,vgg16,74.45926666259766,75.22227883338928,2.1210441649847023
p01_s23,data/raw/p01_s23.png,vgg16,78.69985103607178,78.18074107170105,0.6610239758843797
p01_s24,data/raw/p01_s24.png,vgg16,80.71673512458801,78.44267845153809,4.3763308174868
p01_s26,data/raw/p01_s26.png,vgg16,84.02933478355408,82.3366367816925,3.6452172226614366
p01_s27,data/raw/p01_s27.png,vgg16,76.32259130477905,75.94776034355164,0.2996435254550733
p01_s29,data/raw/p01_s29.png,vgg16,77.84887552261353,76.84810400009155,2.5100246811068323
