method,intersection,overlap,jaccard,AP
vgg16_raw,24,0.24,0.13636363636363635,0.26743531349733096
resnet18_confidence,18,0.18,0.0989010989010989,0.2191627032731219
vgg16_confidence,21,0.21,0.11731843575418995,0.21756794465654195
resnet18_raw,18,0.18,0.0989010989010989,0.19486623139269635
ensemble,14,0.14,0.07526881720430108,0.1870508019551749
resnet50_confidence,13,0.13,0.06951871657754011,0.17404221664261543
resnet50_raw,13,0.13,0.06951871657754011,0.17021941860589807
